+--------+--------+-----------+------------+
| l_name | f_name | work_time | r_date     |
| 藤井   | 雄太   |         8 | 2012-12-28 |
| 藤岡   | 幸太郎 |         8 | 2012-12-01 |
| 藤岡   | 幸太郎 |        10 | 2012-12-02 |
| 藤岡   | 幸太郎 |         8 | 2012-12-05 |
| 藤岡   | 幸太郎 |         9 | 2012-12-06 |
| 藤岡   | 幸太郎 |         8 | 2012-12-07 |
| 藤岡   | 幸太郎 |         8 | 2012-12-08 |
| 藤岡   | 幸太郎 |         9 | 2012-12-09 |
| 藤岡   | 幸太郎 |         8 | 2012-12-12 |
| 藤岡   | 幸太郎 |        10 | 2012-12-13 |
| 藤岡   | 幸太郎 |         9 | 2012-12-14 |
| 藤岡   | 幸太郎 |         8 | 2012-12-15 |
| 藤岡   | 幸太郎 |         8 | 2012-12-16 |
| 藤岡   | 幸太郎 |         8 | 2012-12-19 |
| 藤岡   | 幸太郎 |         8 | 2012-12-20 |
| 藤岡   | 幸太郎 |         9 | 2012-12-21 |
| 藤岡   | 幸太郎 |         8 | 2012-12-22 |
| 藤岡   | 幸太郎 |        10 | 2012-12-23 |
| 藤岡   | 幸太郎 |         8 | 2012-12-26 |
| 藤岡   | 幸太郎 |         8 | 2012-12-27 |
| 藤岡   | 幸太郎 |         8 | 2012-12-28 |
| 葉山   | 俊輔   |         8 | 2012-12-01 |
| 葉山   | 俊輔   |        10 | 2012-12-02 |
| 葉山   | 俊輔   |         8 | 2012-12-05 |
| 葉山   | 俊輔   |         9 | 2012-12-06 |
| 葉山   | 俊輔   |         8 | 2012-12-07 |
| 葉山   | 俊輔   |         8 | 2012-12-08 |
| 葉山   | 俊輔   |         9 | 2012-12-09 |
| 葉山   | 俊輔   |         8 | 2012-12-12 |
| 葉山   | 俊輔   |        10 | 2012-12-13 |
| 葉山   | 俊輔   |         9 | 2012-12-14 |
| 葉山   | 俊輔   |         8 | 2012-12-15 |
| 葉山   | 俊輔   |         8 | 2012-12-16 |
| 葉山   | 俊輔   |         8 | 2012-12-19 |
| 葉山   | 俊輔   |         8 | 2012-12-20 |
| 葉山   | 俊輔   |         9 | 2012-12-21 |
| 葉山   | 俊輔   |         8 | 2012-12-22 |
| 葉山   | 俊輔   |        10 | 2012-12-23 |
| 葉山   | 俊輔   |         8 | 2012-12-26 |
| 葉山   | 俊輔   |         8 | 2012-12-27 |
| 葉山   | 俊輔   |         8 | 2012-12-28 |
| 川口   | 裕子   |         8 | 2012-12-01 |
| 川口   | 裕子   |        10 | 2012-12-02 |
| 川口   | 裕子   |         8 | 2012-12-05 |
| 川口   | 裕子   |         9 | 2012-12-06 |
| 川口   | 裕子   |         8 | 2012-12-07 |
| 川口   | 裕子   |         8 | 2012-12-08 |
| 川口   | 裕子   |         9 | 2012-12-09 |
| 川口   | 裕子   |         8 | 2012-12-12 |
| 川口   | 裕子   |        10 | 2012-12-13 |
| 川口   | 裕子   |         9 | 2012-12-14 |
| 川口   | 裕子   |         8 | 2012-12-15 |
| 川口   | 裕子   |         8 | 2012-12-16 |
| 川口   | 裕子   |         8 | 2012-12-19 |
| 川口   | 裕子   |         8 | 2012-12-20 |
| 川口   | 裕子   |         9 | 2012-12-21 |
| 川口   | 裕子   |         8 | 2012-12-22 |
| 川口   | 裕子   |        10 | 2012-12-23 |
| 川口   | 裕子   |         8 | 2012-12-26 |
| 川口   | 裕子   |         8 | 2012-12-27 |
| 川口   | 裕子   |         8 | 2012-12-28 |
| 加藤   | 昭雄   |         8 | 2012-12-01 |
| 加藤   | 昭雄   |        10 | 2012-12-02 |
| 加藤   | 昭雄   |         8 | 2012-12-05 |
| 加藤   | 昭雄   |         9 | 2012-12-06 |
| 加藤   | 昭雄   |         8 | 2012-12-07 |
| 加藤   | 昭雄   |         8 | 2012-12-08 |
| 加藤   | 昭雄   |         9 | 2012-12-09 |
| 加藤   | 昭雄   |         8 | 2012-12-12 |
| 加藤   | 昭雄   |        10 | 2012-12-13 |
| 加藤   | 昭雄   |         9 | 2012-12-14 |
| 加藤   | 昭雄   |         8 | 2012-12-15 |
| 加藤   | 昭雄   |         8 | 2012-12-16 |
| 加藤   | 昭雄   |         8 | 2012-12-19 |
| 加藤   | 昭雄   |         8 | 2012-12-20 |
| 加藤   | 昭雄   |         9 | 2012-12-21 |
| 加藤   | 昭雄   |         8 | 2012-12-22 |
| 加藤   | 昭雄   |        10 | 2012-12-23 |
| 加藤   | 昭雄   |         8 | 2012-12-26 |
| 加藤   | 昭雄   |         8 | 2012-12-27 |
| 加藤   | 昭雄   |         8 | 2012-12-28 |
| 神田   | 佐知子 |         8 | 2012-12-01 |
| 神田   | 佐知子 |        10 | 2012-12-02 |
| 神田   | 佐知子 |         8 | 2012-12-05 |
| 神田   | 佐知子 |         9 | 2012-12-06 |
| 神田   | 佐知子 |         8 | 2012-12-07 |
| 神田   | 佐知子 |         8 | 2012-12-08 |
| 神田   | 佐知子 |         9 | 2012-12-09 |
| 神田   | 佐知子 |         8 | 2012-12-12 |
| 神田   | 佐知子 |        10 | 2012-12-13 |
| 神田   | 佐知子 |         9 | 2012-12-14 |
| 神田   | 佐知子 |         8 | 2012-12-15 |
| 神田   | 佐知子 |         8 | 2012-12-16 |
| 神田   | 佐知子 |         8 | 2012-12-19 |
| 神田   | 佐知子 |         8 | 2012-12-20 |
| 神田   | 佐知子 |         9 | 2012-12-21 |
| 神田   | 佐知子 |         8 | 2012-12-22 |
| 神田   | 佐知子 |        10 | 2012-12-23 |
| 神田   | 佐知子 |         8 | 2012-12-26 |
| 神田   | 佐知子 |         8 | 2012-12-27 |
| 神田   | 佐知子 |         8 | 2012-12-28 |
| 木村   | 一郎   |         8 | 2012-12-01 |
| 木村   | 一郎   |        10 | 2012-12-02 |
| 木村   | 一郎   |         8 | 2012-12-05 |
| 木村   | 一郎   |         9 | 2012-12-06 |
| 木村   | 一郎   |         8 | 2012-12-07 |
| 木村   | 一郎   |         8 | 2012-12-08 |
| 木村   | 一郎   |         9 | 2012-12-09 |
| 木村   | 一郎   |         8 | 2012-12-12 |
| 木村   | 一郎   |        10 | 2012-12-13 |
| 木村   | 一郎   |         9 | 2012-12-14 |
| 木村   | 一郎   |         8 | 2012-12-15 |
| 木村   | 一郎   |         8 | 2012-12-16 |
| 木村   | 一郎   |         8 | 2012-12-19 |
| 木村   | 一郎   |         8 | 2012-12-20 |
| 木村   | 一郎   |         9 | 2012-12-21 |
| 木村   | 一郎   |         8 | 2012-12-22 |
| 木村   | 一郎   |        10 | 2012-12-23 |
| 木村   | 一郎   |         8 | 2012-12-26 |
| 木村   | 一郎   |         8 | 2012-12-27 |
| 木村   | 一郎   |         8 | 2012-12-28 |
| 中澤   | 康代   |         8 | 2012-12-01 |
| 中澤   | 康代   |         8 | 2012-12-02 |
| 中澤   | 康代   |         9 | 2012-12-05 |
| 中澤   | 康代   |         8 | 2012-12-06 |
| 中澤   | 康代   |        10 | 2012-12-07 |
| 中澤   | 康代   |         9 | 2012-12-08 |
| 中澤   | 康代   |         8 | 2012-12-09 |
| 中澤   | 康代   |         8 | 2012-12-12 |
| 中澤   | 康代   |         8 | 2012-12-13 |
| 中澤   | 康代   |         8 | 2012-12-14 |
| 中澤   | 康代   |         9 | 2012-12-15 |
| 中澤   | 康代   |         8 | 2012-12-16 |
| 中澤   | 康代   |        10 | 2012-12-19 |
| 中澤   | 康代   |         8 | 2012-12-20 |
| 中澤   | 康代   |         8 | 2012-12-21 |
| 中澤   | 康代   |         8 | 2012-12-22 |
| 中澤   | 康代   |         8 | 2012-12-23 |
| 中澤   | 康代   |        10 | 2012-12-26 |
| 中澤   | 康代   |         8 | 2012-12-27 |
| 中澤   | 康代   |         9 | 2012-12-28 |
| 野上   | 利江   |         8 | 2012-12-01 |
| 野上   | 利江   |         8 | 2012-12-02 |
| 野上   | 利江   |         9 | 2012-12-05 |
| 野上   | 利江   |         8 | 2012-12-06 |
| 野上   | 利江   |        10 | 2012-12-07 |
| 野上   | 利江   |         9 | 2012-12-08 |
| 野上   | 利江   |         8 | 2012-12-09 |
| 野上   | 利江   |         8 | 2012-12-12 |
| 野上   | 利江   |         8 | 2012-12-13 |
| 野上   | 利江   |         8 | 2012-12-14 |
| 野上   | 利江   |         9 | 2012-12-15 |
| 野上   | 利江   |         8 | 2012-12-16 |
| 野上   | 利江   |        10 | 2012-12-19 |
| 野上   | 利江   |         8 | 2012-12-20 |
| 野上   | 利江   |         8 | 2012-12-21 |
| 野上   | 利江   |         8 | 2012-12-22 |
| 野上   | 利江   |         8 | 2012-12-23 |
| 野上   | 利江   |        10 | 2012-12-26 |
| 野上   | 利江   |         8 | 2012-12-27 |
| 野上   | 利江   |         9 | 2012-12-28 |
| 清水   | 春子   |         8 | 2012-12-01 |
| 清水   | 春子   |        10 | 2012-12-02 |
| 清水   | 春子   |         8 | 2012-12-05 |
| 清水   | 春子   |         9 | 2012-12-06 |
| 清水   | 春子   |         8 | 2012-12-07 |
| 清水   | 春子   |         8 | 2012-12-08 |
| 清水   | 春子   |         9 | 2012-12-09 |
| 清水   | 春子   |         8 | 2012-12-12 |
| 清水   | 春子   |        10 | 2012-12-13 |
| 清水   | 春子   |         9 | 2012-12-14 |
| 清水   | 春子   |         8 | 2012-12-15 |
| 清水   | 春子   |         8 | 2012-12-16 |
| 清水   | 春子   |         8 | 2012-12-19 |
| 清水   | 春子   |         8 | 2012-12-20 |
| 清水   | 春子   |         9 | 2012-12-21 |
| 清水   | 春子   |         8 | 2012-12-22 |
| 清水   | 春子   |        10 | 2012-12-23 |
| 清水   | 春子   |         8 | 2012-12-26 |
| 清水   | 春子   |         8 | 2012-12-27 |
| 清水   | 春子   |         8 | 2012-12-28 |
| 田中   | 真由子 |        10 | 2012-12-01 |
| 田中   | 真由子 |        11 | 2012-12-02 |
| 田中   | 真由子 |        10 | 2012-12-05 |
| 田中   | 真由子 |         9 | 2012-12-06 |
| 田中   | 真由子 |        10 | 2012-12-07 |
| 田中   | 真由子 |         8 | 2012-12-08 |
| 田中   | 真由子 |         8 | 2012-12-09 |
| 田中   | 真由子 |         8 | 2012-12-12 |
| 田中   | 真由子 |         8 | 2012-12-13 |
| 田中   | 真由子 |         4 | 2012-12-14 |
| 田中   | 真由子 |         8 | 2012-12-15 |
| 田中   | 真由子 |         8 | 2012-12-16 |
| 田中   | 真由子 |        10 | 2012-12-19 |
| 田中   | 真由子 |         9 | 2012-12-20 |
| 田中   | 真由子 |         9 | 2012-12-21 |
| 田中   | 真由子 |         8 | 2012-12-22 |
| 田中   | 真由子 |        11 | 2012-12-23 |
| 田中   | 真由子 |         9 | 2012-12-26 |
| 田中   | 真由子 |         8 | 2012-12-27 |
| 田中   | 真由子 |         6 | 2012-12-28 |
| 田辺   | 正一   |         8 | 2012-12-01 |
| 田辺   | 正一   |        10 | 2012-12-02 |
| 田辺   | 正一   |         8 | 2012-12-05 |
| 田辺   | 正一   |         9 | 2012-12-06 |
| 田辺   | 正一   |         8 | 2012-12-07 |
| 田辺   | 正一   |         8 | 2012-12-08 |
| 田辺   | 正一   |         9 | 2012-12-09 |
| 田辺   | 正一   |         8 | 2012-12-12 |
| 田辺   | 正一   |        10 | 2012-12-13 |
| 田辺   | 正一   |         9 | 2012-12-14 |
| 田辺   | 正一   |         8 | 2012-12-15 |
| 田辺   | 正一   |         8 | 2012-12-16 |
| 田辺   | 正一   |         8 | 2012-12-19 |
| 田辺   | 正一   |         8 | 2012-12-20 |
| 田辺   | 正一   |         9 | 2012-12-21 |
| 田辺   | 正一   |         8 | 2012-12-22 |
| 田辺   | 正一   |        10 | 2012-12-23 |
| 田辺   | 正一   |         8 | 2012-12-26 |
| 田辺   | 正一   |         8 | 2012-12-27 |
| 田辺   | 正一   |         8 | 2012-12-28 |
| 戸川   | よしみ |         8 | 2012-12-01 |
| 戸川   | よしみ |        10 | 2012-12-02 |
| 戸川   | よしみ |         8 | 2012-12-05 |
| 戸川   | よしみ |         9 | 2012-12-06 |
| 戸川   | よしみ |         8 | 2012-12-07 |
| 戸川   | よしみ |         8 | 2012-12-08 |
| 戸川   | よしみ |         9 | 2012-12-09 |
| 戸川   | よしみ |         8 | 2012-12-12 |
| 戸川   | よしみ |        10 | 2012-12-13 |
| 戸川   | よしみ |         9 | 2012-12-14 |
| 戸川   | よしみ |         8 | 2012-12-15 |
| 戸川   | よしみ |         8 | 2012-12-16 |
| 戸川   | よしみ |         8 | 2012-12-19 |
| 戸川   | よしみ |         8 | 2012-12-20 |
| 戸川   | よしみ |         9 | 2012-12-21 |
| 戸川   | よしみ |         8 | 2012-12-22 |
| 戸川   | よしみ |        10 | 2012-12-23 |
| 戸川   | よしみ |         8 | 2012-12-26 |
| 戸川   | よしみ |         8 | 2012-12-27 |
| 戸川   | よしみ |         8 | 2012-12-28 |
| 津村   | 知美   |         8 | 2012-12-01 |
| 津村   | 知美   |        10 | 2012-12-02 |
| 津村   | 知美   |         8 | 2012-12-05 |
| 津村   | 知美   |         9 | 2012-12-06 |
| 津村   | 知美   |         8 | 2012-12-07 |
| 津村   | 知美   |         8 | 2012-12-08 |
| 津村   | 知美   |         9 | 2012-12-09 |
| 津村   | 知美   |         8 | 2012-12-12 |
| 津村   | 知美   |        10 | 2012-12-13 |
| 津村   | 知美   |         9 | 2012-12-14 |
| 津村   | 知美   |         8 | 2012-12-15 |
| 津村   | 知美   |         8 | 2012-12-16 |
| 津村   | 知美   |         8 | 2012-12-19 |
| 津村   | 知美   |         8 | 2012-12-20 |
| 津村   | 知美   |         9 | 2012-12-21 |
| 津村   | 知美   |         8 | 2012-12-22 |
| 津村   | 知美   |        10 | 2012-12-23 |
| 津村   | 知美   |         8 | 2012-12-26 |
| 津村   | 知美   |         8 | 2012-12-27 |
| 津村   | 知美   |         8 | 2012-12-28 |
+--------+--------+-----------+------------+
300 rows in set (0.002 sec)
